Site,Col_Company,Col_Recruit,Col_detail,Col_url
Job_Korea,클라우드 자바 IT국비지원 무료교육,[IT 취업연계 국비교육] [더존비즈온] 클라우드엔지니어 개발자 교육생모집,"서울 종로구, 경력무관, 학력무관, 인턴",https://www.jobkorea.co.kr/Recruit/GI_Read/49647484?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=1&sc=552
Job_Korea,㈜하이퍼포커스,킹툴즈 PC/모바일 개발,"서울 강남구, 신입·경력, 학력무관, 정규직",https://www.jobkorea.co.kr/Recruit/GI_Read/49633972?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=2&sc=552
Job_Korea,㈜씨에스리,[CSLEE] AA/SWA 영역 아키텍처 전문가 상시 모집,"서울 마포구, 신입·경력, 대졸, 프리랜서",https://www.jobkorea.co.kr/Recruit/GI_Read/49555380?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=3&sc=552
Job_Korea,㈜컨포트랩,[신입/경력] 제조 AI 프로젝트 엔지니어(FDE) 추가 채용,"서울 송파구, 신입·경력, 대졸, 정규직",https://www.jobkorea.co.kr/Recruit/GI_Read/49531129?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=4&sc=552
Job_Korea,하나은행,마케팅부 [데이터분석],"서울특별시 중구, 신입·경력, 학력무관, 계약직",https://www.jobkorea.co.kr/Recruit/GI_Read/49618799?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=1&sc=630
Job_Korea,웍스피어(유),[웍스피어] 데이터분석가 (마케팅 DA) (4년이상),"대한민국 서울특별시, 신입·경력, 학력무관, 정규직",https://www.jobkorea.co.kr/Recruit/GI_Read/49576796?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=2&sc=630
Job_Korea,클라우드 자바 IT국비지원 무료교육,[IT 취업연계 국비교육] [더존비즈온] 클라우드엔지니어 개발자 교육생모집,"서울 종로구, 경력무관, 학력무관, 인턴",https://www.jobkorea.co.kr/Recruit/GI_Read/49647484?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=1&sc=808
Job_Korea,피스피스스튜디오,피스피스스튜디오㈜ 각 부문 채용,"서울 중구, 신입·경력, 학력무관, 정규직",https://www.jobkorea.co.kr/Recruit/GI_Read/49582328?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=3&sc=630
Job_Korea,콘센트릭스서비스코리아,데이터분석태깅/기획,"서울 강남구, 신입·경력, 학력무관, 정규직",https://www.jobkorea.co.kr/Recruit/GI_Read/49259969?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=4&sc=630
Job_Korea,보람상조개발㈜,[보람그룹] CRM 데이터분석(DA) 채용,"서울 중구, 신입·경력, 학력무관, 정규직",https://www.jobkorea.co.kr/Recruit/GI_Read/49346658?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=5&sc=630
